Store Location (ship from),Store Email,Postcode,Suburb (Ship to) ,Distance from Store,Shipping Fee
Maribyrnong,highpoint@riseandshine.com.au,3032,Highpoint City,0.32,80
Maribyrnong,highpoint@riseandshine.com.au,3032,Maribyrnong,0.3,80
Maribyrnong,highpoint@riseandshine.com.au,3012,Maidstone,1.29,80
Maribyrnong,highpoint@riseandshine.com.au,3060,Fawkner,1.89,80
Maribyrnong,highpoint@riseandshine.com.au,3011,Seddon West,2.83,80
Maribyrnong,highpoint@riseandshine.com.au,3012,Kingsville West,2.83,80
Maribyrnong,highpoint@riseandshine.com.au,3012,West Footscray,2.59,80
Maribyrnong,highpoint@riseandshine.com.au,3019,Braybrook,2.72,80
Maribyrnong,highpoint@riseandshine.com.au,3040,Aberfeldie,2.22,80
Maribyrnong,highpoint@riseandshine.com.au,3040,Essendon West,2.35,80
Maribyrnong,highpoint@riseandshine.com.au,3011,Footscray,3.02,80
Maribyrnong,highpoint@riseandshine.com.au,3011,Seddon,3.86,80
Maribyrnong,highpoint@riseandshine.com.au,3012,Tottenham,3.64,80
Maribyrnong,highpoint@riseandshine.com.au,3032,Ascot Vale,3.31,80
Maribyrnong,highpoint@riseandshine.com.au,3032,Travancore,3.89,80
Maribyrnong,highpoint@riseandshine.com.au,3039,Moonee Ponds,3.11,80
Maribyrnong,highpoint@riseandshine.com.au,3040,Essendon,3.55,80
Maribyrnong,highpoint@riseandshine.com.au,3012,Kingsville,4.21,80
Maribyrnong,highpoint@riseandshine.com.au,3013,Yarraville,4.61,80
Maribyrnong,highpoint@riseandshine.com.au,3013,Yarraville West,4.8,80
Maribyrnong,highpoint@riseandshine.com.au,3020,Sunshine North,4.92,80
Maribyrnong,highpoint@riseandshine.com.au,3031,Flemington,4.29,80
Maribyrnong,highpoint@riseandshine.com.au,3031,Kensington,4.39,80
Maribyrnong,highpoint@riseandshine.com.au,3041,Essendon North,4,80
Maribyrnong,highpoint@riseandshine.com.au,3042,Niddrie,4.33,80
Maribyrnong,highpoint@riseandshine.com.au,3055,Moonee Vale,4.95,80
Maribyrnong,highpoint@riseandshine.com.au,3003,West Melbourne,5.99,80
Maribyrnong,highpoint@riseandshine.com.au,3012,Brooklyn,5.57,80
Maribyrnong,highpoint@riseandshine.com.au,3020,Albion,5.83,80
Maribyrnong,highpoint@riseandshine.com.au,3041,Strathmore,5.24,80
Maribyrnong,highpoint@riseandshine.com.au,3052,Parkville,5.65,80
Maribyrnong,highpoint@riseandshine.com.au,3055,Brunswick South,5.18,80
Maribyrnong,highpoint@riseandshine.com.au,3056,Brunswick,5.22,80
Maribyrnong,highpoint@riseandshine.com.au,3015,South Kingsville,6.66,80
Maribyrnong,highpoint@riseandshine.com.au,3015,Spotswood,6.09,80
Maribyrnong,highpoint@riseandshine.com.au,3020,Glengala,6.87,80
Maribyrnong,highpoint@riseandshine.com.au,3020,Sunshine West,6.53,80
Maribyrnong,highpoint@riseandshine.com.au,3021,Kealba,6.39,80
Maribyrnong,highpoint@riseandshine.com.au,3025,Altona Gate,6.75,80
Maribyrnong,highpoint@riseandshine.com.au,3041,Strathmore Heights,6.55,80
Maribyrnong,highpoint@riseandshine.com.au,3042,Keilor Park,6.39,80
Maribyrnong,highpoint@riseandshine.com.au,3044,Pascoe Vale South,6.6,80
Maribyrnong,highpoint@riseandshine.com.au,3046,Oak Park,6.99,80
Maribyrnong,highpoint@riseandshine.com.au,3050,Royal Melbourne Hospital,6.68,80
